Name,Risk,Return,Website,NCT,Condition
1,0.99946633,191.3459215,https://clinicaltrials.gov/study/NCT00003184,NCT00003184,Breast Cancer
2,0.99702468,158.6461807,https://clinicaltrials.gov/study/NCT01529684,NCT01529684,Advanced Solid Tumors|Pharmacokinetics of 14C-OSI-906
3,0.997917745,163.4386264,https://clinicaltrials.gov/study/NCT00470184,NCT00470184,Esophageal Cancer
4,0.994687686,154.9772283,https://clinicaltrials.gov/study/NCT00666484,NCT00666484,Lymphoma|Neurotoxicity
5,0.998496338,171.6795977,https://clinicaltrials.gov/study/NCT03895684,NCT03895684,Advanced Solid Tumors
6,0.996387994,156.202827,https://clinicaltrials.gov/study/NCT03707028,NCT03707028,Gastric Cancer|Gastroesophageal Junction Adenocarcinoma
7,0.998373625,169.3692023,https://clinicaltrials.gov/study/NCT00711828,NCT00711828,Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue|Nodal Marginal Zone Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Small Lymphocytic Lymphoma|Refractory Chronic Lymphocytic Leukemia|Splenic Marginal Zone Lymphoma|Waldenstrom Macroglobulinemia
8,0.995428738,155.5833938,https://clinicaltrials.gov/study/NCT00533728,NCT00533728,Non-Hodgkin's Lymphoma
9,0.99929479,186.8964871,https://clinicaltrials.gov/study/NCT00077428,NCT00077428,Recurrent Adenoid Cystic Carcinoma of the Oral Cavity|Recurrent Salivary Gland Cancer|Salivary Gland Adenoid Cystic Carcinoma|Stage III Adenoid Cystic Carcinoma of the Oral Cavity|Stage III Salivary Gland Cancer|Stage IV Adenoid Cystic Carcinoma of the Oral Cavity|Stage IV Salivary Gland Cancer
10,0.98494803,138.3115636,https://clinicaltrials.gov/study/NCT00706628,NCT00706628,Prostatic Neoplasms
11,0.989307552,151.1351091,https://clinicaltrials.gov/study/NCT00148928,NCT00148928,"Neoplasms, Prostate"
12,0.989836246,150.4579097,https://clinicaltrials.gov/study/NCT00941928,NCT00941928,Leukemia|Pediatric Cancer
13,0.998602754,181.2967258,https://clinicaltrials.gov/study/NCT00030628,NCT00030628,Metastatic Cancer
14,0.779808749,7.734633003,https://clinicaltrials.gov/study/NCT00420628,NCT00420628,Chalazion|Hordeolum
15,0.98793426,150.6808209,https://clinicaltrials.gov/study/NCT02980341,NCT02980341,Metastatic Breast Cancer
